,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,序号_y,名称_y,最新价_y,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,a1,MA5,MA10,MA20,MA30,MA60,MA5_1,MA10_1,MA20_1,MA30_1,MA60_1,MA5_score,MA10_score,MA20_score,MA30_score,MA60_score,T_MA5_score,T_MA10_score,T_MA20_score,T_MA30_score,T_MA60_score
17,18,688555,泽达易盛,36.29,11.42,3.72,55094.0,197229383.0,14.0,37.68,33.12,33.82,32.57,0.96,13.48,62.45,3.58,566.0,泽达易盛,36.29,11.42,11249281.0,5.7,572553.0,0.29,10676728.0,5.41,-1362317.0,-0.69,-9886964.0,-5.01,0.0,33.788,32.169,29.299,28.51966666666667,27.476499999999998,33.65,31.345999999999997,28.785999999999994,28.194333333333336,27.355166666666666,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19,834021,流金岁月,6.09,11.33,0.62,277227.0,174207552.0,22.85,7.05,5.8,5.8,5.47,6.39,15.15,34.12,3.05,,,,,,,,,,,,,,,0.0,5.554,5.3,5.053,4.999666666666667,5.714666666666667,5.318,5.235,4.979000000000001,4.968,5.730333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20,300398,飞凯材料,24.16,10.83,2.36,413144.0,954609152.0,15.5,24.82,21.44,22.11,21.8,3.13,8.1,34.57,4.31,47.0,飞凯材料,24.16,10.83,139999192.0,14.67,112499837.0,11.78,27499355.0,2.88,-28904528.0,-3.03,-111094673.0,-11.64,0.0,22.782000000000004,21.759999999999998,21.4215,21.130333333333333,19.601999999999997,22.157999999999998,21.328,21.2865,20.988666666666667,19.474333333333334,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21,688138,清溢光电,19.22,10.27,1.79,98741.0,188504875.0,16.75,20.06,17.14,17.6,17.43,5.18,12.11,124.19,4.33,387.0,清溢光电,19.22,10.27,20413375.0,10.83,14011014.0,7.43,6402361.0,3.4,-2170656.0,-1.15,-18242720.0,-9.68,0.0,17.546,16.69,16.6795,17.099666666666668,16.706333333333333,16.788,16.359,16.5645,17.068333333333335,16.6495,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,300199,翰宇药业,12.61,10.13,1.16,1414410.0,1742986496.0,21.48,13.74,11.28,12.0,11.45,2.23,22.47,-73.45,7.57,4688.0,翰宇药业,12.61,10.13,-187776662.0,-10.77,-114428582.0,-6.57,-73348080.0,-4.21,43836992.0,2.52,143939664.0,8.26,0.0,11.192,10.126999999999999,9.014,8.879666666666667,7.601333333333333,10.5,9.742,8.7675,8.732333333333335,7.4805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23,000982,中银绒业,3.37,10.13,0.31,4612368.0,1526600992.0,10.13,3.37,3.06,3.07,3.06,5.57,10.82,279.06,12.87,7.0,中银绒业,3.37,10.13,443915162.0,29.08,444465658.0,29.11,-550496.0,-0.04,-193389200.0,-12.67,-250525968.0,-16.41,0.0,3.192,3.149,3.1315,3.2590000000000003,3.0381666666666667,3.1279999999999997,3.12,3.1279999999999997,3.267333333333333,3.0256666666666665,5.0,10.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24,002554,惠博普,3.81,10.12,0.35,1167432.0,430565136.0,10.4,3.81,3.45,3.5,3.46,1.46,13.62,34.35,2.2,76.0,惠博普,3.81,10.12,101567333.0,23.59,115439682.0,26.81,-13872349.0,-3.22,-35323685.0,-8.2,-66243648.0,-15.39,0.0,3.566,3.511,3.2870000000000004,3.183333333333333,3.196833333333333,3.464,3.472,3.2465,3.156,3.193,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25,000530,冰山冷热,5.67,10.1,0.52,842319.0,466137216.0,9.13,5.67,5.2,5.35,5.15,1.12,14.07,-86.3,1.44,198.0,冰山冷热,5.67,10.1,40265942.0,8.64,57337808.0,12.3,-17071866.0,-3.66,-41332338.0,-8.87,1066395.0,0.23,1.471674274713476e-16,5.0840000000000005,4.711,4.3485,4.213,3.9493333333333336,4.822,4.58,4.257,4.157333333333333,3.9210000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,26,000953,河化股份,5.89,10.09,0.54,148761.0,83240525.0,13.27,5.89,5.18,5.22,5.35,1.69,4.65,493.01,12.66,359.0,河化股份,5.89,10.09,22204372.0,26.67,23957737.0,28.78,-1753365.0,-2.11,-10045777.0,-12.07,-12158596.0,-14.61,0.0,5.616,5.3100000000000005,5.031499999999999,4.918333333333334,4.710333333333334,5.446,5.208,4.966,4.874333333333333,4.6915000000000004,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,27,000597,东北制药,6.22,10.09,0.57,268865.0,164604903.0,9.03,6.22,5.71,5.76,5.65,1.57,2.03,246.6,2.04,195.0,东北制药,6.22,10.09,40605776.0,24.67,45258747.0,27.5,-4652971.0,-2.83,-24811177.0,-15.07,-15794599.0,-9.6,0.0,5.824,5.568,5.365,5.313000000000001,5.263,5.664,5.468999999999999,5.3125,5.278333333333334,5.249333333333334,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28,600996,贵广网络,5.57,10.08,0.51,374177.0,201651138.0,11.07,5.57,5.01,5.05,5.06,3.08,3.56,-7.63,1.53,156.0,贵广网络,5.57,10.08,50793641.0,25.19,25820573.0,12.8,24973068.0,12.38,-12119376.0,-6.01,-38674266.0,-19.18,0.0,5.194,5.112,4.897,4.786666666666666,4.642833333333334,5.08,5.055,4.8420000000000005,4.755666666666667,4.629,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,29,002694,顾地科技,4.48,10.07,0.41,261241.0,115762453.0,6.88,4.48,4.2,4.48,4.07,2.12,4.93,-29.42,3.99,3362.0,顾地科技,4.48,10.07,-4965077.0,-4.29,-451271.0,-0.39,-4513806.0,-3.9,618383.0,0.53,4346692.0,3.75,0.0,4.018000000000001,3.7729999999999997,3.6159999999999997,3.524,3.2558333333333334,3.806,3.6740000000000004,3.5705000000000005,3.482,3.2351666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,600272,开开实业,8.21,10.05,0.75,59323.0,48704331.0,0.0,8.21,8.21,8.21,7.46,1.62,3.71,209.31,3.87,888.0,开开实业,8.21,10.05,5250254.0,10.78,4789632.0,9.83,460622.0,0.95,-2113788.0,-4.34,-3136467.0,-6.44,0.0,7.696000000000001,7.478,7.218000000000001,7.093333333333333,6.925833333333333,7.552000000000001,7.3709999999999996,7.1465000000000005,7.047666666666666,6.906666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31,600505,西昌电力,10.51,10.05,0.96,181982.0,190268940.0,5.86,10.51,9.95,9.95,9.55,0.63,4.99,70.18,3.13,109.0,西昌电力,10.51,10.05,70336234.0,36.97,71642551.0,37.65,-1306317.0,-0.69,-33786711.0,-17.76,-36549523.0,-19.21,0.0,9.992,9.727,9.5105,9.267333333333333,8.684,9.946,9.603,9.432,9.191333333333334,8.6395,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
